metric,algorithm,region,input_combo,dataset,region_metric,general_metric
MAE,Polynomial,all_data,6,test,0.6570222660992058,0.6759510213905342
MAE,Polynomial,all_data,6,train,0.6027451131042768,0.6556773249246477
MAE,Polynomial,Aegean,7,test,0.6112218144174706,0.5981413053472701
MAE,Polynomial,Aegean,7,train,0.4560067745185214,0.4648437650839013
MAE,Polynomial,Black Sea,7,test,0.395426371383862,0.47334119668179725
MAE,Polynomial,Black Sea,7,train,0.45668467671686547,0.5498479671955246
MAE,Polynomial,Central Anatolia,7,test,0.46807173965296933,0.5785953131538031
MAE,Polynomial,Central Anatolia,7,train,0.5238449296847112,0.5966573676101927
MAE,Polynomial,Eastern Anatolia,7,test,0.47213960230437513,0.48268548936305283
MAE,Polynomial,Eastern Anatolia,7,train,0.44407001327048995,0.4906627531546498
MAE,Polynomial,Marmara,7,test,0.603977391124904,0.6222721701752789
MAE,Polynomial,Marmara,7,train,0.5087285558188048,0.5257941495488397
MAE,Polynomial,Mediterranean,7,test,0.581706288327253,0.5387580818438258
MAE,Polynomial,Mediterranean,7,train,0.5090697290766685,0.616544387699243
MAE,Polynomial,Southeastern Anatolia,7,test,0.5759546548571589,0.5361622195687132
MAE,Polynomial,Southeastern Anatolia,7,train,0.6658598258994983,0.7137268928614517
MAE,Polynomial,all_data,7,test,0.5259714356268522,0.5529218231035039
MAE,Polynomial,all_data,7,train,0.4945695620302525,0.5475856335851206
MAE,Polynomial,Aegean,8,test,1.0897602325060058,1.1014708177301868
MAE,Polynomial,Aegean,8,train,1.1967244484586814,1.217008387700728
