model_name,algorithm,region,input_combo,dataset,MAE,RMSE,rRMSE,NSE
GPR_marmara_f2,GPR,Marmara,2,train,0.7192093232062579,0.9153850630907232,0.2366384390534466,0.6681014191967205
GPR_marmara_f3,GPR,Marmara,3,test,0.2026728912629562,0.2699032813851154,0.0679469658233016,0.9737175889461236
GPR_marmara_f3,GPR,Marmara,3,train,0.1817008656085357,0.2392543726599544,0.0618502350167275,0.9773265545747576
GPR_marmara_f4,GPR,Marmara,4,test,0.6584637494638316,0.8310939963224517,0.2092242638706467,0.7507993537306038
GPR_marmara_f4,GPR,Marmara,4,train,0.5815742647666458,0.7457971739726819,0.1927978576616515,0.779687459189626
GPR_marmara_f5,GPR,Marmara,5,test,0.6889402498986381,0.8629874196402805,0.2172532931326975,0.731306102066927
GPR_marmara_f5,GPR,Marmara,5,train,0.5896791929369378,0.7566439464975853,0.1956018834455053,0.7732324666289351
GPR_marmara_f6,GPR,Marmara,6,test,0.6819344386718015,0.8572732204028317,0.2158147685682611,0.7348525901572316
GPR_marmara_f6,GPR,Marmara,6,train,0.5859613857864027,0.7510904847406873,0.1941662444182983,0.7765490154184831
GPR_marmara_f7,GPR,Marmara,7,test,0.5722046115424834,0.7418783309336601,0.1867646118947014,0.8014297207219291
GPR_marmara_f7,GPR,Marmara,7,train,0.4806248220173858,0.6441171237866204,0.1665122983608866,0.8356659939648067
GPR_marmara_f8,GPR,Marmara,8,test,1.1620744748875105,1.4066531616319669,0.3541187562009291,0.2861237600397091
GPR_marmara_f8,GPR,Marmara,8,train,1.1543001576674703,1.377345297207598,0.3560609128450553,0.2485788525048993
GPR_marmara_f9,GPR,Marmara,9,test,0.5080964428840591,0.6511592124017589,0.1639264721923099,0.8470240170048049
GPR_marmara_f9,GPR,Marmara,9,train,0.4358932319677658,0.5617236105798348,0.1452125490646159,0.8750192548190641
GPR_marmara_f10,GPR,Marmara,10,test,0.5518214261540583,0.7228803295832775,0.1819819484834196,0.8114694698965735
GPR_marmara_f10,GPR,Marmara,10,train,0.5484088691800975,0.7077228456520163,0.1829551696114558,0.8016079876909189
GPR_marmara_f11,GPR,Marmara,11,test,0.5807404658369161,0.774287268660941,0.1949234196454785,0.7837016976128226
GPR_marmara_f11,GPR,Marmara,11,train,0.5550623331174068,0.7143454820297431,0.1846672035936932,0.7978776415969401
GPR_marmara_f12,GPR,Marmara,12,test,0.4377253101758036,0.5829469135797606,0.1467543255144268,0.8773953650164666
GPR_marmara_f12,GPR,Marmara,12,train,0.4390495951304994,0.5759753112108459,0.1488967911690179,0.8685969370533926
GPR_marmara_f13,GPR,Marmara,13,test,0.5031913278520765,0.6572661174738819,0.1654638587260795,0.8441411873129263
GPR_marmara_f13,GPR,Marmara,13,train,0.5038612140615285,0.6509147151435226,0.1682695603841375,0.8321791440745518
GPR_marmara_f14,GPR,Marmara,14,test,0.2032273625089423,0.2725603387841833,0.0686158683551957,0.973197568489312
GPR_marmara_f14,GPR,Marmara,14,train,0.1789400069827484,0.2375696884366701,0.0614147231638796,0.9776447357073969
GPR_marmara_f15,GPR,Marmara,15,test,0.1430980601293702,0.1840590165138641,0.0463360491223273,0.9877774149371376
GPR_marmara_f15,GPR,Marmara,15,train,0.1248135699606299,0.1664136824727776,0.0430200094422898,0.9890307782960104
GPR_marmara_f16,GPR,Marmara,16,test,0.2032866079830594,0.2779748823562015,0.0699789559217812,0.9721221045924158
GPR_marmara_f16,GPR,Marmara,16,train,0.1789869919613414,0.2364734677989447,0.0611313364766492,0.9778505680455184
GPR_mediterranean_f1,GPR,Mediterranean,1,test,0.4573323343903105,0.5645273472755037,0.1370224626521426,0.8914577075266361
GPR_mediterranean_f1,GPR,Mediterranean,1,train,0.442723734835094,0.5553179561474836,0.1452297174309049,0.8740913381604217
GPR_mediterranean_f2,GPR,Mediterranean,2,test,0.7482736081296623,1.0140948503616778,0.2461417935375949,0.649743523734186
GPR_mediterranean_f2,GPR,Mediterranean,2,train,0.6739496055079945,0.8593466890767805,0.2247409352573842,0.6984849523826292
GPR_mediterranean_f3,GPR,Mediterranean,3,test,0.2147602446443736,0.2860540291079321,0.069431228990237,0.9721307579223416
GPR_mediterranean_f3,GPR,Mediterranean,3,train,0.1876765705311313,0.2625277140461121,0.0686576497421459,0.97186010393254
GPR_mediterranean_f4,GPR,Mediterranean,4,test,0.7188612667538312,0.902834504709411,0.2191366065783134,0.7223834730263795
GPR_mediterranean_f4,GPR,Mediterranean,4,train,0.6386313747939343,0.820240040328062,0.2145135556371624,0.725302879755599
GPR_mediterranean_f5,GPR,Mediterranean,5,test,0.7187750887257164,0.9106449258819838,0.2210323573308347,0.7175593751902427
GPR_mediterranean_f5,GPR,Mediterranean,5,train,0.6277681719869597,0.80311371260251,0.2100345869514273,0.7366542841267498
