model_name,algorithm,region,input_combo,train_time,kernel,C,gamma
SVR_marmara_f13,SVR,Marmara,13,0.8592078685760498,rbf,50,0.3
SVR_mediterranean_f13,SVR,Mediterranean,13,0.6561808586120605,rbf,5,0.5
SVR_southeastern_anatolia_f13,SVR,Southeastern Anatolia,13,0.2030768394470214,rbf,20,0.5
SVR_all_data_f13,SVR,all_data,13,48.0233645439148,rbf,5,0.5
SVR_aegean_f14,SVR,Aegean,14,4.071869850158691,rbf,50,0.3
SVR_black_sea_f14,SVR,Black Sea,14,1.010941743850708,rbf,50,0.3
SVR_central_anatolia_f14,SVR,Central Anatolia,14,2.707664966583252,rbf,50,0.1
SVR_eastern_anatolia_f14,SVR,Eastern Anatolia,14,1.4698479175567627,rbf,20,0.3
SVR_marmara_f14,SVR,Marmara,14,1.258677959442139,rbf,50,0.1
SVR_mediterranean_f14,SVR,Mediterranean,14,0.731011152267456,rbf,20,0.3
SVR_southeastern_anatolia_f14,SVR,Southeastern Anatolia,14,0.1346433162689209,rbf,20,0.1
SVR_all_data_f14,SVR,all_data,14,84.68490958213806,rbf,50,0.5
SVR_aegean_f15,SVR,Aegean,15,1.874558448791504,rbf,20,0.3
SVR_black_sea_f15,SVR,Black Sea,15,0.7185795307159424,rbf,50,0.1
SVR_central_anatolia_f15,SVR,Central Anatolia,15,2.649303436279297,rbf,50,0.1
SVR_eastern_anatolia_f15,SVR,Eastern Anatolia,15,0.7966537475585938,rbf,20,0.1
SVR_marmara_f15,SVR,Marmara,15,1.3329699039459229,rbf,50,0.1
SVR_mediterranean_f15,SVR,Mediterranean,15,0.9529006481170654,rbf,50,0.1
SVR_southeastern_anatolia_f15,SVR,Southeastern Anatolia,15,0.1951732635498047,rbf,50,0.1
SVR_all_data_f15,SVR,all_data,15,24.60355544090271,rbf,5,0.3
SVR_aegean_f16,SVR,Aegean,16,3.0324532985687256,rbf,50,0.1
SVR_black_sea_f16,SVR,Black Sea,16,0.4759035110473633,rbf,5,0.3
SVR_central_anatolia_f16,SVR,Central Anatolia,16,5.355305671691895,rbf,50,0.1
SVR_eastern_anatolia_f16,SVR,Eastern Anatolia,16,1.8589041233062744,rbf,50,0.1
SVR_marmara_f16,SVR,Marmara,16,2.210707902908325,rbf,50,0.1
SVR_mediterranean_f16,SVR,Mediterranean,16,1.433916091918945,rbf,20,0.3
SVR_southeastern_anatolia_f16,SVR,Southeastern Anatolia,16,0.341088056564331,rbf,50,0.1
SVR_all_data_f16,SVR,all_data,16,47.11542010307312,rbf,20,0.1
