model_name,algorithm,region,input_combo,train_time,kernel_var,kernel_len,likelihood_var,M,batch_size
GPR_aegean_f14,GPR,Aegean,14,107.05112290382384,3.478315097498169,"1.5302251501158783,2.368959738499986,2.906165984771783,2.415643045985138",0.062565419309149,150,100
GPR_black_sea_f14,GPR,Black Sea,14,85.95699763298035,2.804519832181927,"2.3782293188777412,3.154845460775445,1.9210546707948082,2.7552535815968353",0.0516708945087563,150,100
GPR_central_anatolia_f14,GPR,Central Anatolia,14,85.74883556365967,3.640185451431035,"3.2691350771811294,2.0418846752162008,0.9594360988304032,2.9629888507771396",0.0479741559132504,150,100
GPR_eastern_anatolia_f14,GPR,Eastern Anatolia,14,110.25527381896973,3.499133404717114,"4.038459099947679,1.79174158900502,1.386338834407304,4.751354141662628",0.0456786709045321,150,100
GPR_marmara_f14,GPR,Marmara,14,80.50594091415405,3.472744754687441,"2.322026429683031,2.3903636305398845,1.1162813168359598,3.1921728889686425",0.059029219755001,150,100
GPR_mediterranean_f14,GPR,Mediterranean,14,80.2463698387146,3.2602006977538696,"3.9354346021279953,2.2525060337763674,1.151111963174775,4.130514665963137",0.0684992650269622,150,100
GPR_southeastern_anatolia_f14,GPR,Southeastern Anatolia,14,108.00804567337036,4.006484673847977,"1.5157028077898527,2.060169179488383,1.4070947942690226,3.154467792800285",0.0501265064825811,150,100
GPR_all_data_f14,GPR,all_data,14,80.9655282497406,3.4906868650043354,"1.5883424763582175,2.2747910210444107,2.1484275220220947,3.9545522984877155",0.08941211495017,150,100
GPR_aegean_f15,GPR,Aegean,15,79.45714235305786,3.2877062669670725,"2.529937860641153,3.3815754803709224,0.9691311299251425,2.754367735077687",0.0239016796218613,150,100
GPR_black_sea_f15,GPR,Black Sea,15,78.80136227607727,3.2116347401803123,"3.374269161801882,3.1509750703487454,2.1335325852383904,3.450229505464304",0.0214065558436891,150,100
GPR_central_anatolia_f15,GPR,Central Anatolia,15,79.66591167449951,3.108578339669461,"2.793014052568513,2.3741193789783535,1.041384472968119,4.562094893870367",0.0196625150730054,150,100
GPR_eastern_anatolia_f15,GPR,Eastern Anatolia,15,79.40972328186035,3.141563625298094,"3.1193649028161503,4.02242222116026,0.824648887087696,2.3485965116790446",0.0097117088838222,150,100
GPR_marmara_f15,GPR,Marmara,15,79.55856418609619,3.627473238848129,"2.9398988161536095,2.87975328699806,1.1153269022306078,1.996301589672483",0.0290363704100426,150,100
GPR_mediterranean_f15,GPR,Mediterranean,15,78.53016138076782,3.124869261213906,"1.5978838372890924,3.355262534637803,2.531233975065701,1.6575113041073344",0.0149935885468597,150,100
GPR_southeastern_anatolia_f15,GPR,Southeastern Anatolia,15,79.47833824157715,3.8744872221063456,"1.8247829677023553,4.697342500981698,4.506863404684524,4.781674265323422",0.0227936021188838,150,100
GPR_all_data_f15,GPR,all_data,15,82.7790949344635,3.3188351026283804,"2.0330340580790045,3.560212728352015,2.8536595213799476,2.6342518386442335",0.033602591134642,150,100
GPR_aegean_f16,GPR,Aegean,16,81.26057577133179,3.309000642879332,"3.309632638382953,2.948792735505438,1.7505623230408438,4.013126950962638",0.0603019684941524,150,100
GPR_black_sea_f16,GPR,Black Sea,16,81.47370886802673,2.97423482052464,"1.7920628702118522,3.4604258885289947,1.627628602166372,5.137424745662461",0.052814092293558,150,100
GPR_central_anatolia_f16,GPR,Central Anatolia,16,81.33374881744385,3.112615488149053,"3.0750799141934735,1.9213208025323356,1.4639140852031036,2.9367832918693177",0.050160319655104,150,100
GPR_eastern_anatolia_f16,GPR,Eastern Anatolia,16,80.46519565582275,3.2126821777751697,"3.1526583937080543,2.0250111206426915,1.38940013224559,4.774779811810587",0.0431034155074379,150,100
GPR_marmara_f16,GPR,Marmara,16,82.75745105743408,3.284823788565742,"2.8636073760641545,2.524984034900329,1.3298445389414608,4.328597828607967",0.0587067899129389,150,100
GPR_mediterranean_f16,GPR,Mediterranean,16,79.8645851612091,2.924578133265903,"2.1160980297488523,2.0546326884428274,1.4729586573416376,5.308775523842213",0.0676724387252647,150,100
GPR_southeastern_anatolia_f16,GPR,Southeastern Anatolia,16,80.89696288108826,3.3498363420226216,"2.817635599102282,3.3369117327575393,1.5686494674274476,5.02942706386408",0.038817103003993,150,100
GPR_all_data_f16,GPR,all_data,16,82.4203290939331,3.3031160143883493,"2.278912009891089,4.598032242187969,0.8884997511083397,4.62876683460745",0.0797878593678745,150,100
